,Status,Meal plan identifier,Segmentation,Lenght of the stay,Day of week,Room type ok,Non refundable
0,Confirmed,BB,Flash sales / Boxes,5,Not Weekend,Double Deluxe,Free cancellation
1,Confirmed,BB,Flash sales / Boxes,5,Not Weekend,Double Deluxe,Free cancellation
2,Confirmed,BB,Flash sales / Boxes,7,Not Weekend,Double Deluxe,Free cancellation
3,Confirmed,RO,Online Travel agency,5,Not Weekend,Double Standard,Non refundable
4,Confirmed,BB,Online Travel agency,6,Not Weekend,Double Standard,Non refundable
5,Confirmed,BB,Online Travel agency,7,Not Weekend,Double Standard,Non refundable
6,Confirmed,RO,Last minute app,6,Not Weekend,Double Standard,Free cancellation
7,Confirmed,RO,Online Travel agency,7,Not Weekend,Double Standard,Non refundable
8,Confirmed,RO,Online Travel agency,4,Not Weekend,Triple Standard,Free cancellation
9,Confirmed,BB,Direct reservation / Walk-in,6,Not Weekend,Double Standard City View,Free cancellation
10,Confirmed,RO,Online Travel agency,3,Weekend,Double Standard,Non refundable
11,Confirmed,BB,Online Travel agency,3,Weekend,Triple Standard,Free cancellation
12,Confirmed,BB,Tour Operator,4,Weekend,Double Standard,Free cancellation
13,Confirmed,RO,Direct reservation / Walk-in,4,Weekend,Double Standard City View,Free cancellation
14,Confirmed,RO,Tour Operator,7,Weekend,Double Standard City View,Non refundable
15,Confirmed,RO,Online Travel agency,3,Weekend,Triple Standard,Free cancellation
16,Confirmed,RO,Online Travel agency,3,Weekend,Double Standard,Free cancellation
17,Confirmed,RO,Online Travel agency,3,Weekend,Double Standard,Free cancellation
18,Confirmed,RO,Online Travel agency,4,Weekend,Triple Standard,Non refundable
19,Confirmed,RO,Online Travel agency,3,Weekend,Double Deluxe,Non refundable
20,Confirmed,BB,Online Travel agency,10,Weekend,Double Standard City View,Non refundable
21,Confirmed,RO,Online Travel agency,3,Weekend,Double Standard,Non refundable
22,Confirmed,RO,Direct reservation / Walk-in,2,Weekend,Double London Eye view,Free cancellation
23,Confirmed,RO,Direct reservation / Walk-in,2,Weekend,Double London Eye view,Free cancellation
24,Confirmed,BB,Tour Operator,2,Weekend,Double Standard,Free cancellation
25,Confirmed,RO,Direct reservation / Walk-in,2,Weekend,Double Standard City View,Non refundable
26,Confirmed,RO,Online Travel agency,2,Weekend,Double Standard City View,Free cancellation
27,Confirmed,RO,Online Travel agency,2,Weekend,Double Standard,Non refundable
28,Confirmed,RO,Online Travel agency,2,Weekend,Double Standard,Non refundable
29,Confirmed,RO,Online Travel agency,3,Weekend,Double Standard City View,Free cancellation
30,Confirmed,RO,Online Travel agency,2,Weekend,Double Standard,Free cancellation
31,Confirmed,BB,Flash sales / Boxes,5,Weekend,Double Deluxe,Free cancellation
32,Confirmed,BB,Flash sales / Boxes,6,Weekend,Double Deluxe,Free cancellation
33,Confirmed,BB,Online Travel agency,3,Weekend,Double Standard City View,Non refundable
34,Confirmed,RO,Direct reservation / Walk-in,3,Weekend,Triple Standard,Free cancellation
35,Confirmed,RO,Direct reservation / Walk-in,2,Weekend,Double Standard City View,Non refundable
36,Confirmed,BB,Online Travel agency,2,Weekend,Double Standard City View,Non refundable
37,Confirmed,RO,Online Travel agency,2,Weekend,Double Standard,Non refundable
38,Confirmed,BB,Online Travel agency,2,Weekend,Triple Standard,Free cancellation
39,Confirmed,RO,Online Travel agency,2,Weekend,Double Standard,Non refundable
40,Confirmed,HB,Direct reservation / Walk-in,5,Weekend,Double Standard,Free cancellation
41,Confirmed,BB,Online Travel agency,7,Weekend,Double Standard,Free cancellation
42,Confirmed,RO,Direct reservation / Walk-in,3,Weekend,Double Standard,Non refundable
43,Confirmed,RO,Direct reservation / Walk-in,3,Weekend,Double Standard,Non refundable
44,Confirmed,BB,Online Travel agency,2,Weekend,Double Standard City View,Free cancellation
45,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
46,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
47,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
48,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
49,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Deluxe,Free cancellation
50,Confirmed,HB,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
51,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
52,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
53,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Non refundable
54,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
55,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
56,Confirmed,RO,Tour Operator,1,Not Weekend,Double Standard,Free cancellation
57,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Deluxe,Non refundable
58,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
59,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
60,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
61,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Deluxe,Free cancellation
62,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Deluxe,Free cancellation
63,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Deluxe,Free cancellation
64,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Deluxe,Free cancellation
65,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Deluxe,Free cancellation
66,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
67,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
68,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
69,Confirmed,BB,Tour Operator,1,Not Weekend,Double Deluxe,Non refundable
70,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Deluxe,Free cancellation
71,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
72,Confirmed,RO,Travel agency,1,Not Weekend,Double Standard,Non refundable
73,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Deluxe,Free cancellation
74,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
75,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Non refundable
76,Confirmed,RO,Direct reservation / Walk-in,6,Not Weekend,Triple Standard,Non refundable
77,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Non refundable
78,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Non refundable
79,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Triple Standard,Free cancellation
80,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Triple Standard,Free cancellation
81,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Double Standard,Free cancellation
82,Confirmed,RO,Online Travel agency,5,Not Weekend,Double Standard,Non refundable
83,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
84,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
85,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Non refundable
86,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Non refundable
87,Confirmed,RO,Global Distribution Systems (GDS),1,Not Weekend,Double Standard,Free cancellation
88,Confirmed,RO,Online Travel agency,3,Not Weekend,Double Standard City View,Free cancellation
89,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Free cancellation
90,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Free cancellation
91,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
92,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
93,Confirmed,HB,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
94,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Non refundable
95,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Non refundable
96,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Free cancellation
97,Confirmed,BB,Tour Operator,5,Not Weekend,Double Standard,Free cancellation
98,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
99,Confirmed,BB,Flash sales / Boxes,5,Not Weekend,Double Deluxe,Free cancellation
