Numero Reserva,Cliente Comercial,Fecha llegada,Fecha de salida,Tipo de habitación,Estado,Identificador régimen alimenticio,Tarifa,Fecha de Creación,Nº de pax del tipo 1 alojados,Fecha de cancelación,VIP,Identificador segmento de mercado,Identificador procedencia de negocio,País,Identificador de canal
4193691,BOOKING.COM,1/1/2019,7/1/2019,DBLSTD,Cancelada,BB,X_BAR,27/7/2018,1,27/7/2018,,ONL,ONL,,XML
4304804,HRS,1/1/2019,10/1/2019,DBLSTD,No show,RO,X_BAR,30/8/2018,1,,,ONL,ONL,DE,XML
4438480,MIKI TRAVEL LTD.,1/1/2019,3/1/2019,TPLSTD,Cancelada,BB,F_W18_S19,8/10/2018,3,12/10/2018,,TTOO,NO,GB,EMAIL
4472440,BOOKING.COM,1/1/2019,13/1/2019,DBLSTD,Cancelada,BB,X_BAR,17/10/2018,2,18/10/2018,,ONL,ONL,,XML
4563806,SUNHOTELS,1/1/2019,6/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,12/11/2018,2,13/11/2018,,TTOO,NO,AE,EMAIL
4567131,SUNHOTELS,1/1/2019,6/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,13/11/2018,2,16/11/2018,,TTOO,NO,AE,EMAIL
4579285,SUNHOTELS,1/1/2019,6/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,16/11/2018,1,26/12/2018,,TTOO,NO,AE,EMAIL
4663144,TOURMUNDIAL,1/1/2019,6/1/2019,DBLSTD,Cancelada,BB,X_BAR,10/12/2018,1,14/12/2018,,ONL,ONL,ES,XML
4380783,TUI BELGIUM,2/1/2019,5/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,21/9/2018,2,2/1/2019,,TTOO,BEL,BE,EMAIL
4400574,BOOKING.COM,2/1/2019,6/1/2019,DBLSTDST,Cancelada,RO,X_BAR,27/9/2018,2,1/10/2018,,ONL,ONL,,XML
4440551,SENSATIONS DU MONDE,2/1/2019,3/1/2019,DBLSTD,No show,BB,F_W18_S19,8/10/2018,2,,,TTOO,FRA,FR,EMAIL
4533301,MIKI TRAVEL LTD.,2/1/2019,5/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,2/11/2018,1,26/12/2018,,TTOO,NO,GB,EMAIL
4533304,MIKI TRAVEL LTD.,2/1/2019,5/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,2/11/2018,2,26/12/2018,,TTOO,NO,GB,EMAIL
4533379,EXPEDIA,2/1/2019,5/1/2019,DBLSTD,Cancelada,BB,X_BAR,2/11/2018,2,3/11/2018,,ONL,ONL,US,XML
4535508,HOTELBEDS SWITZERLAND AG,2/1/2019,5/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,3/11/2018,2,26/12/2018,,TTOO,NO,CH,EMAIL
4535509,HOTELBEDS SWITZERLAND AG,2/1/2019,5/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,3/11/2018,2,26/12/2018,,TTOO,NO,CH,EMAIL
4535574,RTS,2/1/2019,5/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,3/11/2018,2,26/11/2018,,TTOO,ASIA,CN,EMAIL
4563496,VOYAGE PRIVE FRANCIA,2/1/2019,5/1/2019,DBLDLX,Cancelada,BB,BFL_VP_O18,12/11/2018,2,12/11/2018,,ONL,ONL,FR,EMAIL
4603009,LUXURY ESCAPES TRAVEL,2/1/2019,9/1/2019,DBLDLX,Cancelada,BB,BFL_LX7N,22/11/2018,2,22/11/2018,,ONL,ONL,AU,EMAIL
4607732,LUXURY ESCAPES TRAVEL,2/1/2019,9/1/2019,DBLDLX,Cancelada,BB,BFL_LX7N,23/11/2018,2,23/11/2018,,ONL,ONL,AU,EMAIL
4607791,LUXURY ESCAPES TRAVEL,2/1/2019,9/1/2019,DBLDLX,Cancelada,BB,BFL_LX7N,23/11/2018,2,23/11/2018,,ONL,ONL,AU,EMAIL
4613947,BOOKING.COM,2/1/2019,13/1/2019,DBLDLX,Cancelada,RO,X_BAR,25/11/2018,2,25/11/2018,,ONL,ONL,,XML
4641339,SUNHOTELS,2/1/2019,5/1/2019,DBLSTD,Cancelada,BB,X_BAR,3/12/2018,1,26/12/2018,,ONL,ONL,LI,XML
4644404,CAPITA BUSINESS TRAVEL,2/1/2019,3/1/2019,DBLSTD,Cancelada,BB,C_163/183,4/12/2018,1,19/12/2018,,CORP,EMP,GB,GDS
4664183,BOOKING.COM,2/1/2019,4/1/2019,DBLSTD,Cancelada,RO,X_BAR,10/12/2018,2,27/12/2018,,ONL,ONL,,XML
4665190,TRAVELCLICK,2/1/2019,3/1/2019,DBLSTD,Cancelada,RO,B_BAR,11/12/2018,1,15/12/2018,,CORP,EMP,US,GDS
4681812,ABBEY (UK) TRAVEL LTD,2/1/2019,5/1/2019,DBLSTD__2,Cancelada,BB,F_W18_S19,17/12/2018,2,24/12/2018,,TTOO,NO,GB,EMAIL
4698728,BOOKING.COM,2/1/2019,16/1/2019,DBLSTD,Cancelada,RO,X_BAR_NR,22/12/2018,1,2/1/2019,,ONL,ONL,,XML
4698730,BOOKING.COM,2/1/2019,16/1/2019,DBLSTD,Cancelada,RO,X_BAR_NR,22/12/2018,2,2/1/2019,,ONL,ONL,,XML
4290881,BOOKING.COM,3/1/2019,6/1/2019,DBLSTD,Cancelada,RO,X_BAR,26/8/2018,1,7/12/2018,,ONL,ONL,,XML
4607358,BOOKING.COM,3/1/2019,6/1/2019,DBLSTD,Cancelada,RO,X_BAR_NR,23/11/2018,2,4/12/2018,,ONL,ONL,,XML
4611880,CLUB H10,3/1/2019,6/1/2019,JRSSTD,Cancelada,RO,W_BAR,24/11/2018,3,7/12/2018,,DIR,DIR,ES,WEB
4636551,BOOKING.COM,3/1/2019,6/1/2019,DBLSTD,Cancelada,RO,X_BAR,1/12/2018,2,29/12/2018,,ONL,ONL,,XML
4654139,EXPEDIA,3/1/2019,4/1/2019,DBLSTD,Cancelada,BB,X_B_PK2,7/12/2018,1,21/12/2018,,ONL,ONL,US,XML
4654888,HOTELBEDS SWITZERLAND AG,3/1/2019,7/1/2019,DBLDLX,Cancelada,BB,F_W18_S19,7/12/2018,2,7/12/2018,,TTOO,NO,CH,EMAIL
4681866,CAPITA BUSINESS TRAVEL,3/1/2019,4/1/2019,DBLSTD,Cancelada,RO,B_BAR,17/12/2018,1,2/1/2019,,CORP,CAN,GB,GDS
4731317,BARINGA PARTNERS,3/1/2019,4/1/2019,DBLSTD,Cancelada,BB,C_160/180,3/1/2019,1,3/1/2019,5,CORP,EMP,GB,EMAIL
4255371,PLEASANT HOLIDAYS,4/1/2019,10/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,15/8/2018,2,16/8/2018,,TTOO,HOL,US,EMAIL
4400262,TUI NEDERLAND N.V.,4/1/2019,7/1/2019,DBLSTD,Cancelada,BB,F_W18_S19,27/9/2018,2,20/11/2018,,TTOO,HOL,NL,EMAIL
4436059,BOOKING.COM,4/1/2019,6/1/2019,DBLSTD,Cancelada,RO,X_BAR,7/10/2018,2,12/10/2018,,ONL,ONL,,XML
4510369,CLUB H10,4/1/2019,6/1/2019,DBLSUP,Cancelada,RO,W_BAR,26/10/2018,2,11/11/2018,,DIR,DIR,ES,WEB
4558881,BOOKING.COM,4/1/2019,7/1/2019,DBLSTD,Cancelada,RO,X_BAR,10/11/2018,1,11/11/2018,,ONL,ONL,,XML
4583520,CLUB H10,4/1/2019,6/1/2019,DBLSTDST,No show,RO,W_BAR,18/11/2018,2,,1,DIR,DIR,ES,WEB
4660309,BOOKING.COM,4/1/2019,6/1/2019,DBLSTD,Cancelada,RO,X_BAR,9/12/2018,2,10/12/2018,,ONL,ONL,,XML
