,Cancelled,Arrival,Arrival month,Departure,Length of the stay,Creation date,Lead time,Cancellation date,Cxl time,Cancellation lead time,Stay type,Room type,Meal,N of pax,Non Refundable,VIP,Country,Market channel,Channel
0,1,2019-01-01,1,2019-01-07,6,2018-07-27,158,2018-07-27 00:00:00,0.0,158.0,L-W-L,Double Standard,BB,1,0,0,Other,OTA,XML
2,1,2019-01-01,1,2019-01-03,2,2018-10-08,85,2018-10-12 00:00:00,4.0,81.0,L-L,Triple Standard,BB,3,0,0,United Kingdom,TTOO,EMAIL
3,1,2019-01-01,1,2019-01-13,12,2018-10-17,76,2018-10-18 00:00:00,1.0,75.0,W-L,Double Standard,BB,2,0,0,Other,OTA,XML
4,1,2019-01-01,1,2019-01-06,5,2018-11-12,50,2018-11-13 00:00:00,1.0,49.0,W-L,Double Standard,BB,2,0,0,Other,TTOO,EMAIL
5,1,2019-01-01,1,2019-01-06,5,2018-11-13,49,2018-11-16 00:00:00,3.0,46.0,W-L,Double Standard,BB,2,0,0,Other,TTOO,EMAIL
6,1,2019-01-01,1,2019-01-06,5,2018-11-16,46,2018-12-26 00:00:00,40.0,6.0,W-L,Double Standard,BB,1,0,0,Other,TTOO,EMAIL
7,1,2019-01-01,1,2019-01-06,5,2018-12-10,22,2018-12-14 00:00:00,4.0,18.0,W-L,Double Standard,BB,1,0,0,Spain,TTOO,XML
8,1,2019-01-02,1,2019-01-05,3,2018-09-21,103,2019-01-02 00:00:00,103.0,0.0,W-L,Double Standard,BB,2,0,0,Other,TTOO,EMAIL
9,1,2019-01-02,1,2019-01-06,4,2018-09-27,97,2018-10-01 00:00:00,4.0,93.0,W-L,Double Standard City View,RO,2,0,0,Other,OTA,XML
11,1,2019-01-02,1,2019-01-05,3,2018-11-02,61,2018-12-26 00:00:00,54.0,7.0,W-L,Double Standard,BB,1,0,0,United Kingdom,TTOO,EMAIL
12,1,2019-01-02,1,2019-01-05,3,2018-11-02,61,2018-12-26 00:00:00,54.0,7.0,W-L,Double Standard,BB,2,0,0,United Kingdom,TTOO,EMAIL
13,1,2019-01-02,1,2019-01-05,3,2018-11-02,61,2018-11-03 00:00:00,1.0,60.0,W-L,Double Standard,BB,2,0,0,United States,OTA,XML
14,1,2019-01-02,1,2019-01-05,3,2018-11-03,60,2018-12-26 00:00:00,53.0,7.0,W-L,Double Standard,BB,2,0,0,China,OTA,EMAIL
15,1,2019-01-02,1,2019-01-05,3,2018-11-03,60,2018-12-26 00:00:00,53.0,7.0,W-L,Double Standard,BB,2,0,0,China,OTA,EMAIL
16,1,2019-01-02,1,2019-01-05,3,2018-11-03,60,2018-11-26 00:00:00,23.0,37.0,W-L,Double Standard,BB,2,0,0,Other,OTA,EMAIL
17,1,2019-01-02,1,2019-01-05,3,2018-11-12,51,2018-11-12 00:00:00,0.0,51.0,W-L,Double Deluxe,BB,2,0,0,Other,Flash / Boxes,EMAIL
18,1,2019-01-02,1,2019-01-09,7,2018-11-22,41,2018-11-22 00:00:00,0.0,41.0,L-W-L,Double Deluxe,BB,2,0,0,Other,Flash / Boxes,EMAIL
19,1,2019-01-02,1,2019-01-09,7,2018-11-23,40,2018-11-23 00:00:00,0.0,40.0,L-W-L,Double Deluxe,BB,2,0,0,Other,Flash / Boxes,EMAIL
20,1,2019-01-02,1,2019-01-09,7,2018-11-23,40,2018-11-23 00:00:00,0.0,40.0,L-W-L,Double Deluxe,BB,2,0,0,Other,Flash / Boxes,EMAIL
21,1,2019-01-02,1,2019-01-13,11,2018-11-25,38,2018-11-25 00:00:00,0.0,38.0,W-L,Double Deluxe,RO,2,0,0,Other,OTA,XML
22,1,2019-01-02,1,2019-01-05,3,2018-12-03,30,2018-12-26 00:00:00,23.0,7.0,W-L,Double Standard,BB,1,0,0,Other,TTOO,XML
23,1,2019-01-02,1,2019-01-03,1,2018-12-04,29,2018-12-19 00:00:00,15.0,14.0,L-L,Double Standard,BB,1,0,0,United Kingdom,Corporate / Mice,GDS
24,1,2019-01-02,1,2019-01-04,2,2018-12-10,23,2018-12-27 00:00:00,17.0,6.0,L-L,Double Standard,RO,2,0,0,Other,OTA,XML
25,1,2019-01-02,1,2019-01-03,1,2018-12-11,22,2018-12-15 00:00:00,4.0,18.0,L-L,Double Standard,RO,1,0,0,United States,GDS,GDS
26,1,2019-01-02,1,2019-01-05,3,2018-12-17,16,2018-12-24 00:00:00,7.0,9.0,W-L,Double Standard,BB,2,0,0,United Kingdom,Travel agency,EMAIL
27,1,2019-01-02,1,2019-01-16,14,2018-12-22,11,2019-01-02 00:00:00,11.0,0.0,L-W-L,Double Standard,RO,1,1,0,Other,OTA,XML
28,1,2019-01-02,1,2019-01-16,14,2018-12-22,11,2019-01-02 00:00:00,11.0,0.0,L-W-L,Double Standard,RO,2,1,0,Other,OTA,XML
29,1,2019-01-03,1,2019-01-06,3,2018-08-26,130,2018-12-07 00:00:00,103.0,27.0,W-L,Double Standard,RO,1,0,0,Other,OTA,XML
30,1,2019-01-03,1,2019-01-06,3,2018-11-23,41,2018-12-04 00:00:00,11.0,30.0,W-L,Double Standard,RO,2,1,0,Other,OTA,XML
31,1,2019-01-03,1,2019-01-06,3,2018-11-24,40,2018-12-07 00:00:00,13.0,27.0,W-L,Junior Suite,RO,3,0,0,Spain,Direct / Walk-in,WEB
32,1,2019-01-03,1,2019-01-06,3,2018-12-01,33,2018-12-29 00:00:00,28.0,5.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
33,1,2019-01-03,1,2019-01-04,1,2018-12-07,27,2018-12-21 00:00:00,14.0,13.0,L-L,Double Standard,BB,1,0,0,United States,OTA,XML
34,1,2019-01-03,1,2019-01-07,4,2018-12-07,27,2018-12-07 00:00:00,0.0,27.0,L-W-L,Double Deluxe,BB,2,0,0,China,OTA,EMAIL
35,1,2019-01-03,1,2019-01-04,1,2018-12-17,17,2019-01-02 00:00:00,16.0,1.0,L-L,Double Standard,RO,1,0,0,United Kingdom,Corporate / Mice,GDS
36,1,2019-01-03,1,2019-01-04,1,2019-01-03,0,2019-01-03 00:00:00,0.0,0.0,L-L,Double Standard,BB,1,0,1,United Kingdom,Corporate / Mice,EMAIL
37,1,2019-01-04,1,2019-01-10,6,2018-08-15,142,2018-08-16 00:00:00,1.0,141.0,L-W-L,Double Standard,BB,2,0,0,United States,Travel agency,EMAIL
38,1,2019-01-04,1,2019-01-07,3,2018-09-27,99,2018-11-20 00:00:00,54.0,45.0,L-W-L,Double Standard,BB,2,0,0,Other,TTOO,EMAIL
39,1,2019-01-04,1,2019-01-06,2,2018-10-07,89,2018-10-12 00:00:00,5.0,84.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
40,1,2019-01-04,1,2019-01-06,2,2018-10-26,70,2018-11-11 00:00:00,16.0,54.0,W-L,Double London Eye view,RO,2,0,0,Spain,Direct / Walk-in,WEB
41,1,2019-01-04,1,2019-01-07,3,2018-11-10,55,2018-11-11 00:00:00,1.0,54.0,L-W-L,Double Standard,RO,1,0,0,Other,OTA,XML
43,1,2019-01-04,1,2019-01-06,2,2018-12-09,26,2018-12-10 00:00:00,1.0,25.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
44,1,2019-01-04,1,2019-01-06,2,2018-12-24,11,2018-12-26 00:00:00,2.0,9.0,W-L,Double Standard City View,RO,2,0,0,Other,OTA,XML
45,1,2019-01-04,1,2019-01-09,5,2018-12-24,11,2018-12-28 00:00:00,4.0,7.0,L-W-L,Double Standard,BB,2,0,0,China,OTA,EMAIL
46,1,2019-01-05,1,2019-01-06,1,2018-06-18,201,2018-12-21 00:00:00,186.0,15.0,W-W,Double Standard,BB,2,0,0,United Kingdom,Flash / Boxes,EMAIL
47,1,2019-01-05,1,2019-01-06,1,2018-10-20,77,2018-12-04 00:00:00,45.0,32.0,W-W,Double Standard City View,BB,2,0,0,Other,OTA,XML
